"",".id","country","dist"
"1","USA","Canada",0
"2","USA","Mexico",0
"3","USA","Russia",80.5783017157232
"4","Canada","USA",0
"5","Mexico","USA",0
"6","Mexico","Guatemala",0
"7","Guatemala","Mexico",0
"8","Guatemala","Honduras",0
"9","Guatemala","El Salvador",0
"10","Honduras","Guatemala",0
"11","Honduras","El Salvador",0
"12","Honduras","Nicaragua",0
"13","El Salvador","Guatemala",0
"14","El Salvador","Honduras",0
"15","El Salvador","Nicaragua",37.6913941279297
"16","Nicaragua","Honduras",0
"17","Nicaragua","El Salvador",37.6913941279297
"18","Nicaragua","Costa Rica",0
"19","Costa Rica","Nicaragua",0
"20","Costa Rica","Panama",0
"21","Panama","Costa Rica",0
"22","Panama","Colombia",0
"23","Colombia","Panama",0
"24","Colombia","Venezuela",0
"25","Colombia","Ecuador",0
"26","Colombia","Peru",0
"27","Colombia","Brazil",0
"28","Venezuela","Colombia",0
"29","Venezuela","Brazil",0
"30","Ecuador","Colombia",0
"31","Ecuador","Peru",0
"32","Peru","Colombia",0
"33","Peru","Ecuador",0
"34","Peru","Brazil",0
"35","Peru","Bolivia",0
"36","Peru","Chile",0
"37","Brazil","Colombia",0
"38","Brazil","Venezuela",0
"39","Brazil","Peru",0
"40","Brazil","Bolivia",0
"41","Brazil","Paraguay",0
"42","Brazil","Argentina",0
"43","Brazil","Uruguay",0
"44","Bolivia","Peru",0
"45","Bolivia","Brazil",0
"46","Bolivia","Paraguay",0
"47","Bolivia","Chile",0
"48","Bolivia","Argentina",0
"49","Paraguay","Brazil",0
"50","Paraguay","Bolivia",0
"51","Paraguay","Argentina",0
"52","Chile","Peru",0
"53","Chile","Bolivia",0
"54","Chile","Argentina",0
"55","Argentina","Brazil",0
"56","Argentina","Bolivia",0
"57","Argentina","Paraguay",0
"58","Argentina","Chile",0
"59","Argentina","Uruguay",0
"60","Uruguay","Brazil",0
"61","Uruguay","Argentina",0
"62","UK","Ireland",0
"63","UK","Belgium",80.9146076084657
"64","UK","France",34.881954885774
"65","Ireland","UK",0
"66","Netherlands","Belgium",0
"67","Netherlands","France",56.7822205253551
"68","Netherlands","Germany",0
