"country","a5 IV unweighted(threshold 1e-06)","a5 IV weighted by p31(threshold 1e-06)","a5 IV weighted by distance(threshold 1e-06)","a5 IV weighted by distance and p31(threshold 1e-06)","a5 IV unweighted(threshold 50)","a5 IV weighted by p31(threshold 50)","a5 IV weighted by distance(threshold 50)","a5 IV weighted by distance and p31(threshold 50)","a5 IV unweighted(threshold 100)","a5 IV weighted by p31(threshold 100)","a5 IV weighted by distance(threshold 100)","a5 IV weighted by distance and p31(threshold 100)"
"S. Africa",1.63663903868889,1.67125967222609,1.63663903868889,1.67125967222609,1.63663903868889,1.67125967222609,1.63663903868889,1.67125967222609,1.63663903868889,1.67125967222609,1.63663903868889,1.67125967222609
"Senegal",2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
"Slovakia",1.91966216694444,1.91657670586325,1.91966243957227,1.91657670586621,1.92182479308667,1.89629042783114,1.91312217498782,1.78811523588698,1.89975020293333,1.90479577569611,1.91293867214636,1.89122257884399
"Slovenia",1.77186469021481,1.73141869509871,1.77186297266165,1.73141869507932,1.75937470031111,1.74170304206412,1.76823180008077,1.8784539448532,1.75937470031111,1.74170304206412,1.76374833618288,1.8784539448532
"Spain",1.99684235205714,2.232415923057,1.99684235205714,2.232415923057,2.03930903510476,2.20446808362336,2.07894344295183,2.17004017551692,2.03930903510476,2.20446808362336,2.05755427128965,2.17004017551692
"Sweden",2.3931940326875,2.40838478149408,2.3931940326875,2.40838478149408,2.61704389116667,2.68877638328012,2.63020985007561,2.76060527573431,2.62901904219643,2.73010923239371,2.5111225391035,2.55844875866057
"Switzerland",2.18956573651111,2.22977952017097,2.18956639432796,2.2297795201787,2.18956573651111,2.22977952017097,2.18956573651112,2.2297795201787,2.18956573651111,2.22977952017097,2.18956573651112,2.2297795201787
"Taiwan",,,,,,,,,,,,
"Tanzania",1.528125003,1.54782581913901,1.528125003,1.54782581913901,1.55875327786667,1.56368115984777,1.55557363740487,1.54814074935156,1.55875327786667,1.56368115984777,1.55720367520709,1.54814074935156
"Thailand",1.3540875198,1.34817337118124,1.3540875198,1.34817337118124,1.3540875198,1.34817337118124,1.3540875198,1.34817337118124,1.3540875198,1.34817337118124,1.3540875198,1.34817337118124
"Turkey",1.33549043872619,1.45968188146471,1.33549043872619,1.45968188146471,1.33549043872619,1.45968188146471,1.33549043872619,1.45968188146471,1.33549043872619,1.45968188146471,1.33549043872619,1.45968188146471
"UK",3.196759343,3.19913488733224,3.196759343,3.19913488733224,2.69057290885714,2.69508719302981,2.41942268730812,2.19391304266724,2.35059357771032,2.35082052044768,2.26336755333412,2.21987668122096
"Ukraine",1.67632090054167,1.63127378895884,1.67632067265856,1.63127378895877,1.67842416562778,1.65706716294424,1.67864237577244,1.68237298115761,1.67842416562778,1.65706716294424,1.67853318059984,1.68237298115761
"Uruguay",2.17943116428182,2.14438221658105,2.17943116428182,2.14438221658105,2.17943116428182,2.14438221658105,2.17943116428182,2.14438221658105,2.17943116428182,2.14438221658105,2.17943116428182,2.14438221658105
"USA",2.9862566829,3.20531567776949,2.9862566829,3.20531567776949,2.9862566829,3.20531567776949,2.9862566829,3.20531567776949,2.65699570976667,2.68409505720687,2.89882493854218,3.20434720585291
"Venezuela",2.19264492818182,2.28742599909371,2.19264492818182,2.28742599909371,2.19264492818182,2.28742599909371,2.19264492818182,2.28742599909371,2.19264492818182,2.28742599909371,2.19264492818182,2.28742599909371
"Zambia",1.59815704816667,1.54475267121897,1.59815704816667,1.54475267121897,1.57860735254667,1.60426270731988,1.68317881859778,1.71744940271299,1.57860735254667,1.60426270731988,1.62209560911598,1.71744940271299
